#First two columns are conformal time, the other three columns are tau0*tau0*r*Dl*Window1*Window2
#tau1     tau2      D2_integrand      D9_integrand      D42_integrand
11090      9855.53      -1.99867e-09      4.03208e-10      -3.46913e-11
11081.9      9844.12      -1.61662e-09      3.39808e-10      -2.7342e-11
11073.8      9832.7      -1.31403e-09      2.69694e-10      -3.50306e-11
11065.6      9821.29      -1.04543e-09      2.29317e-10      -2.21059e-11
11057.5      9809.88      -8.34402e-10      1.86855e-10      -1.81532e-11
11049.3      9798.47      -6.61967e-10      1.51446e-10      -1.46145e-11
11041.2      9787.06      -5.2234e-10      1.24556e-10      -9.06655e-12
11033      9775.64      -4.14214e-10      9.62148e-11      -9.40153e-12
11024.9      9764.23      -3.20974e-10      7.99566e-11      -3.16047e-12
11016.8      9752.82      -2.50651e-10      6.25145e-11      -1.7901e-12
11008.6      9741.41      -1.94125e-10      4.97025e-11      -5.74899e-14
11000.5      9729.99      -1.49803e-10      3.86084e-11      8.62218e-13
10992.3      9718.58      -1.15772e-10      2.88995e-11      6.12843e-13
10984.2      9707.17      -8.83555e-11      2.24621e-11      1.33384e-12
10976      9695.76      -6.76771e-11      1.66401e-11      9.53071e-13
10967.9      9684.34      -5.11669e-11      1.25408e-11      9.26653e-13
12148.9      11408.2      0      0      0
12140.4      11396.6      -3.84901e-11      5.4806e-12      -6.42359e-13
12132      11385      -4.70733e-11      7.15788e-12      -5.91307e-13
12123.5      11373.5      -5.79877e-11      8.72885e-12      -7.39349e-13
12115      11361.9      -7.11843e-11      1.07593e-11      -8.614e-13
12106.6      11350.3      -8.69176e-11      1.331e-11      -5.23512e-13
12098.1      11338.8      -1.06569e-10      1.58986e-11      -7.14145e-13
12089.7      11327.2      -1.29857e-10      1.95316e-11      -1.88346e-13
12081.2      11315.6      -1.58475e-10      2.3603e-11      2.80019e-13
12072.7      11304      -1.93607e-10      2.7849e-11      5.25348e-13
12064.3      11292.5      -2.35186e-10      3.38547e-11      1.85663e-12
12055.8      11280.9      -2.86948e-10      3.89326e-11      2.02831e-12
12047.4      11269.3      -3.48257e-10      4.4871e-11      1.95559e-12
12038.9      11257.8      -4.2087e-10      5.2771e-11      2.96471e-12
12030.4      11246.2      -5.11903e-10      5.844e-11      -5.10682e-13
12022      11234.6      -6.13388e-10      7.19657e-11      2.73853e-12
12013.5      11223.1      -7.40036e-10      8.2192e-11      5.82705e-14
12005      11211.5      -8.8538e-10      9.77089e-11      4.80512e-13
11996.6      11199.9      -1.0562e-09      1.17551e-10      1.69761e-12
11988.1      11188.3      -1.26181e-09      1.36916e-10      -1.94971e-12
11979.7      11176.8      -1.49495e-09      1.66081e-10      -3.96819e-13
11971.2      11165.2      -1.76994e-09      1.98666e-10      2.03685e-12
11962.7      11153.6      -2.09505e-09      2.37576e-10      2.40765e-12
11954.3      11142.1      -2.46292e-09      2.96948e-10      2.30431e-11
11945.8      11130.5      -2.90552e-09      3.48619e-10      3.29925e-11
11937.4      11118.9      -3.40692e-09      4.20822e-10      5.84106e-11
11928.9      11107.4      -3.98742e-09      5.0376e-10      9.23438e-11
11920.4      11095.8      -4.69486e-09      5.66294e-10      9.9822e-11
11912      11084.2      -5.47325e-09      6.78135e-10      1.45063e-10
11903.5      11072.7      -6.43594e-09      7.39961e-10      1.32591e-10
11895.1      11061.1      -7.50537e-09      8.39887e-10      1.37766e-10
11886.6      11049.5      -8.7293e-09      9.46796e-10      1.42089e-10
11878.1      11037.9      -1.01545e-08      1.05038e-09      9.7515e-11
11869.7      11026.4      -1.17224e-08      1.23764e-09      9.43531e-11
11861.2      11014.8      -1.35309e-08      1.427e-09      3.78675e-11
11852.8      11003.2      -1.55802e-08      1.66048e-09      -4.26542e-11
11844.3      10991.7      -1.78151e-08      2.01634e-09      -5.99836e-11
11835.8      10980.1      -2.04469e-08      2.29223e-09      -1.90888e-10
11827.4      10968.5      -2.32536e-08      2.72859e-09      -2.51371e-10
11818.9      10957      -2.64877e-08      3.18512e-09      -3.76637e-10
11810.4      10945.4      -3.01775e-08      3.62776e-09      -6.37896e-10
11802      10933.8      -3.40583e-08      4.39641e-09      -6.13977e-10
11793.5      10922.3      -3.86108e-08      4.95462e-09      -8.95258e-10
11785.1      10910.7      -4.33497e-08      5.82578e-09      -9.14462e-10
11776.6      10899.1      -4.86592e-08      6.76637e-09      -9.66555e-10
11768.1      10887.5      -5.4653e-08      7.6976e-09      -1.12477e-09
