#k_size_bessel = 25000
#tau_size_selection = 50
#Gaussian z1=1.66792, z2= 1.83296 (0.0001)
#rsd-rsd
#tau1      tau2         l(l+1)Dl(tau1,tau2)
#l = 2
12307.3     10036.7      -2.86605e-08
12307.3     10139.9      -3.94718e-08
12307.3     10243.1      -4.32468e-08
12307.3     10346.3      -6.32472e-08
12307.3     10449.5      -5.96984e-08
12307.3     10552.7      -5.08245e-08
12307.3     10655.9      -7.83031e-08
12307.3     10759.2      -8.89563e-08
12307.3     10862.4      -1.1992e-07
12307.3     10965.6      -1.28766e-07
12307.3     11068.8      -1.69639e-07
12307.3     11172      -2.54796e-07
12307.3     11275.2      -2.95434e-07
12307.3     11378.4      -4.16418e-07
12307.3     11481.6      -5.62567e-07
12307.3     11584.8      -8.18704e-07
12307.3     11688.1      -1.21579e-06
12307.3     11791.3      -1.72046e-06
12307.3     11894.5      -2.80314e-06
12307.3     11997.7      -4.77346e-06
12307.3     12100.9      -9.06655e-06
12307.3     12204.1      -4.63976e-06
12307.3     12307.3      0.000142645
12410.5     9107.76      7.08349e-09
12410.5     9210.97      6.82941e-09
12410.5     9314.18      1.1059e-08
12410.5     9417.39      8.50871e-09
12410.5     9520.61      9.26816e-10
12410.5     9623.82      4.10383e-11
12410.5     9727.03      -4.86302e-09
12410.5     9830.24      -8.55493e-09
12410.5     9933.45      -2.63725e-08
12410.5     10036.7      -3.76447e-08
12410.5     10139.9      -3.12245e-08
12410.5     10243.1      -3.5952e-08
12410.5     10346.3      -3.44343e-08
12410.5     10449.5      -5.25717e-08
12410.5     10552.7      -5.20094e-08
12410.5     10655.9      -4.63346e-08
12410.5     10759.2      -7.58774e-08
12410.5     10862.4      -8.61159e-08
12410.5     10965.6      -1.19733e-07
12410.5     11068.8      -1.30287e-07
12410.5     11172      -1.75336e-07
12410.5     11275.2      -2.66551e-07
12410.5     11378.4      -3.09858e-07
12410.5     11481.6      -4.47598e-07
12410.5     11584.8      -6.15792e-07
12410.5     11688.1      -8.9886e-07
12410.5     11791.3      -1.33591e-06
12410.5     11894.5      -1.90542e-06
12410.5     11997.7      -3.12456e-06
12410.5     12100.9      -5.34946e-06
12410.5     12204.1      -1.01954e-05
12410.5     12307.3      -5.3634e-06
12410.5     12410.5      0.000159902
12513.8     9107.76      9.50223e-09
12513.8     9210.97      8.79397e-09
12513.8     9314.18      7.20916e-09
12513.8     9417.39      1.17045e-08
12513.8     9520.61      6.50278e-09
12513.8     9623.82      -4.88964e-09
12513.8     9727.03      -9.59019e-09
12513.8     9830.24      -1.59223e-08
12513.8     9933.45      -1.68334e-08
12513.8     10036.7      -2.96215e-08
12513.8     10139.9      -3.47315e-08
12513.8     10243.1      -2.19188e-08
12513.8     10346.3      -2.32566e-08
12513.8     10449.5      -2.51152e-08
12513.8     10552.7      -4.92402e-08
12513.8     10655.9      -4.76755e-08
12513.8     10759.2      -4.00873e-08
12513.8     10862.4      -7.22696e-08
12513.8     10965.6      -8.42848e-08
12513.8     11068.8      -1.21028e-07
12513.8     11172      -1.29558e-07
12513.8     11275.2      -1.77899e-07
12513.8     11378.4      -2.82167e-07
12513.8     11481.6      -3.35197e-07
12513.8     11584.8      -4.85172e-07
12513.8     11688.1      -6.65192e-07
12513.8     11791.3      -9.8283e-07
12513.8     11894.5      -1.47205e-06
12513.8     11997.7      -2.11432e-06
12513.8     12100.9      -3.48121e-06
12513.8     12204.1      -6.00443e-06
12513.8     12307.3      -1.15438e-05
12513.8     12410.5      -6.26679e-06
12513.8     12513.8      0.000180196
12617     9107.76      1.20762e-08
12617     9210.97      1.02365e-08
12617     9314.18      9.36541e-09
12617     9417.39      5.32883e-09
12617     9520.61      7.18127e-09
12617     9623.82      -2.67078e-09
12617     9727.03      -1.64371e-08
12617     9830.24      -1.86045e-08
12617     9933.45      -1.87512e-08
12617     10036.7      -1.26024e-08
12617     10139.9      -2.10965e-08
12617     10243.1      -2.25832e-08
12617     10346.3      -1.1987e-08
12617     10449.5      -1.78206e-08
12617     10552.7      -1.91804e-08
12617     10655.9      -4.44577e-08
12617     10759.2      -4.19928e-08
12617     10862.4      -3.45876e-08
12617     10965.6      -6.9956e-08
12617     11068.8      -7.9971e-08
12617     11172      -1.18734e-07
12617     11275.2      -1.31251e-07
12617     11378.4      -1.90426e-07
12617     11481.6      -3.02633e-07
12617     11584.8      -3.53077e-07
12617     11688.1      -5.20636e-07
12617     11791.3      -7.19911e-07
12617     11894.5      -1.07447e-06
12617     11997.7      -1.61166e-06
12617     12100.9      -2.33479e-06
12617     12204.1      -3.91136e-06
12617     12307.3      -6.78881e-06
12617     12410.5      -1.3126e-05
12617     12513.8      -7.36867e-06
12617     12617      0.000204277
12720.2     9107.76      1.13253e-08
12720.2     9210.97      1.32476e-08
12720.2     9314.18      8.90345e-09
12720.2     9417.39      4.74072e-09
12720.2     9520.61      -3.93767e-09
12720.2     9623.82      -3.35287e-09
12720.2     9727.03      -1.1647e-08
12720.2     9830.24      -2.01527e-08
12720.2     9933.45      -1.53113e-08
12720.2     10036.7      -9.67359e-09
12720.2     10139.9      1.22131e-09
12720.2     10243.1      -1.20141e-08
12720.2     10346.3      -1.79251e-08
12720.2     10449.5      -5.52388e-09
12720.2     10552.7      -1.07369e-08
12720.2     10655.9      -1.18274e-08
12720.2     10759.2      -4.08232e-08
12720.2     10862.4      -3.74538e-08
12720.2     10965.6      -2.62411e-08
12720.2     11068.8      -6.37115e-08
12720.2     11172      -7.78927e-08
12720.2     11275.2      -1.26304e-07
12720.2     11378.4      -1.36455e-07
12720.2     11481.6      -1.94274e-07
12720.2     11584.8      -3.19215e-07
12720.2     11688.1      -3.72298e-07
12720.2     11791.3      -5.56767e-07
12720.2     11894.5      -7.6508e-07
12720.2     11997.7      -1.15766e-06
12720.2     12100.9      -1.7847e-06
12720.2     12204.1      -2.60063e-06
12720.2     12307.3      -4.39091e-06
12720.2     12410.5      -7.69341e-06
12720.2     12513.8      -1.5038e-05
12720.2     12617      -8.79932e-06
12720.2     12720.2      0.000233161
12823.4     9107.76      9.33194e-09
12823.4     9210.97      1.04853e-08
12823.4     9314.18      9.33864e-09
12823.4     9417.39      -7.88111e-13
12823.4     9520.61      -6.39778e-09
12823.4     9623.82      -1.35271e-08
12823.4     9727.03      -6.23556e-09
12823.4     9830.24      -8.45094e-09
12823.4     9933.45      -1.20547e-08
12823.4     10036.7      -2.31794e-09
12823.4     10139.9      2.06781e-10
12823.4     10243.1      7.60916e-09
12823.4     10346.3      -6.77921e-09
12823.4     10449.5      -1.18267e-08
12823.4     10552.7      2.3794e-09
12823.4     10655.9      -4.64015e-09
12823.4     10759.2      -5.62126e-09
12823.4     10862.4      -3.47531e-08
12823.4     10965.6      -2.86199e-08
12823.4     11068.8      -1.97894e-08
12823.4     11172      -6.74634e-08
12823.4     11275.2      -7.95855e-08
12823.4     11378.4      -1.24993e-07
12823.4     11481.6      -1.36078e-07
12823.4     11584.8      -1.98579e-07
12823.4     11688.1      -3.34976e-07
12823.4     11791.3      -3.77165e-07
12823.4     11894.5      -5.75878e-07
12823.4     11997.7      -8.29043e-07
12823.4     12100.9      -1.2626e-06
12823.4     12204.1      -1.95802e-06
12823.4     12307.3      -2.88178e-06
12823.4     12410.5      -4.96218e-06
12823.4     12513.8      -8.81339e-06
12823.4     12617      -1.73285e-05
12823.4     12720.2      -1.05686e-05
12823.4     12823.4      0.000268237
12926.6     9107.76      1.25297e-08
12926.6     9210.97      5.24412e-09
12926.6     9314.18      1.95568e-09
12926.6     9417.39      -1.48142e-09
12926.6     9520.61      -9.7594e-09
12926.6     9623.82      -1.03743e-08
12926.6     9727.03      -1.11354e-08
12926.6     9830.24      2.96938e-09
12926.6     9933.45      4.6903e-09
12926.6     10036.7      -3.14986e-09
12926.6     10139.9      2.95623e-09
12926.6     10243.1      6.19243e-09
12926.6     10346.3      1.56163e-08
12926.6     10449.5      -4.44484e-10
12926.6     10552.7      -6.96989e-09
12926.6     10655.9      9.10735e-09
12926.6     10759.2      4.2283e-09
12926.6     10862.4      5.11641e-09
12926.6     10965.6      -3.11233e-08
12926.6     11068.8      -2.98768e-08
12926.6     11172      -1.71826e-08
12926.6     11275.2      -6.23305e-08
12926.6     11378.4      -7.58839e-08
12926.6     11481.6      -1.24346e-07
12926.6     11584.8      -1.33366e-07
12926.6     11688.1      -1.87472e-07
12926.6     11791.3      -3.31319e-07
