#k_size_bessel = 25000
#tau_size_selection = 50
#Gaussian z1=1, z2= 1.5 (1e-06)
#rsd-rsd
#tau1      tau2         l(l+1)Dl(tau1,tau2)
#l = 64
10415.9     11513.2      -1.34996e-06
10415.9     11604.7      -1.70933e-06
10415.9     11696.1      8.59615e-08
10415.9     11787.6      -3.5304e-07
10415.9     11879      -1.41887e-08
10415.9     11970.5      -7.94126e-07
10415.9     12061.9      -1.10712e-06
10415.9     12153.4      9.26084e-08
10415.9     12244.8      -2.645e-07
10415.9     12336.2      5.25084e-07
10415.9     12427.7      -2.45994e-10
10415.9     12519.1      7.58538e-07
10415.9     12610.6      -1.3482e-08
10415.9     12702      -9.22777e-08
10415.9     12793.5      4.96401e-08
10415.9     12884.9      -4.06867e-08
10415.9     12976.4      7.24715e-08
10415.9     13067.8      -3.1325e-07
10415.9     13159.3      -8.61188e-08
10415.9     13250.7      2.85788e-08
10415.9     13342.1      -2.71508e-07
10415.9     13433.6      -4.23416e-08
10415.9     13525      1.82289e-08
10415.9     13616.5      2.64621e-08
10415.9     13707.9      -1.36387e-08
10415.9     13799.4      2.90549e-09
10415.9     13890.8      5.76541e-09
10415.9     13982.3      -2.69228e-09
10415.9     14073.7      8.56266e-09
10415.9     14165.2      0.586367
10507.3     9684.33      1.13775e-06
10507.3     9775.78      -1.88868e-06
10507.3     9867.22      1.35782e-06
10507.3     9958.67      4.49415e-06
10507.3     10050.1      8.37838e-06
10507.3     10141.6      2.40867e-05
10507.3     10233      4.34532e-05
10507.3     10324.5      -0.000120254
10507.3     10415.9      -0.00110088
10507.3     10507.3      0.0114257
10507.3     10598.8      -0.00114228
10507.3     10690.2      -9.82359e-05
10507.3     10781.7      4.87867e-05
10507.3     10873.1      1.91288e-05
10507.3     10964.6      7.95368e-06
10507.3     11056      4.47736e-06
10507.3     11147.5      -5.69718e-06
10507.3     11238.9      -2.73084e-06
10507.3     11330.3      2.06167e-06
10507.3     11421.8      -1.56617e-06
10507.3     11513.2      1.37931e-06
10507.3     11604.7      -2.08352e-06
10507.3     11696.1      -1.73016e-06
10507.3     11787.6      -1.41728e-07
10507.3     11879      -5.1146e-07
10507.3     11970.5      3.73489e-07
10507.3     12061.9      -1.33259e-06
10507.3     12153.4      -4.31787e-07
10507.3     12244.8      -7.00002e-07
10507.3     12336.2      -1.70676e-08
10507.3     12427.7      9.7186e-08
10507.3     12519.1      7.50783e-07
10507.3     12610.6      3.26007e-07
10507.3     12702      3.11139e-07
10507.3     12793.5      -6.78044e-08
10507.3     12884.9      -3.05261e-07
10507.3     12976.4      -9.37902e-08
10507.3     13067.8      1.02351e-07
10507.3     13159.3      2.0115e-07
10507.3     13250.7      2.0297e-09
10507.3     13342.1      -3.73016e-08
10507.3     13433.6      6.98835e-08
10507.3     13525      -6.19678e-09
10507.3     13616.5      1.16838e-07
10507.3     13707.9      -1.49114e-08
10507.3     13799.4      3.38989e-08
10507.3     13890.8      -1.42962e-09
10507.3     13982.3      1.96867e-09
10507.3     14073.7      -7.907e-09
10507.3     14165.2      -0.514779
10598.8     9684.33      -3.04133e-07
10598.8     9775.78      1.47559e-06
10598.8     9867.22      -1.97475e-06
10598.8     9958.67      6.91823e-07
10598.8     10050.1      4.40789e-06
10598.8     10141.6      8.13986e-06
10598.8     10233      2.32144e-05
10598.8     10324.5      4.56828e-05
10598.8     10415.9      -0.000109861
10598.8     10507.3      -0.00114228
10598.8     10598.8      0.0121125
10598.8     10690.2      -0.00118257
10598.8     10781.7      -8.54392e-05
10598.8     10873.1      4.98426e-05
10598.8     10964.6      1.70664e-05
10598.8     11056      7.92287e-06
10598.8     11147.5      4.65417e-06
10598.8     11238.9      -6.76583e-06
10598.8     11330.3      -2.27903e-06
10598.8     11421.8      1.21259e-06
10598.8     11513.2      -1.79653e-06
10598.8     11604.7      1.65728e-06
10598.8     11696.1      -2.84171e-06
10598.8     11787.6      -1.26755e-06
10598.8     11879      -3.19168e-07
10598.8     11970.5      -7.29201e-07
10598.8     12061.9      5.92475e-07
10598.8     12153.4      -1.75506e-06
10598.8     12244.8      9.95454e-07
10598.8     12336.2      -8.228e-07
10598.8     12427.7      4.53762e-07
10598.8     12519.1      1.64663e-07
10598.8     12610.6      9.13296e-07
10598.8     12702      -2.20326e-07
10598.8     12793.5      3.88904e-08
10598.8     12884.9      -8.1159e-08
10598.8     12976.4      4.28883e-07
10598.8     13067.8      -3.96966e-07
10598.8     13159.3      -2.52754e-07
10598.8     13250.7      -1.19566e-07
10598.8     13342.1      -1.97988e-07
10598.8     13433.6      -6.05493e-08
10598.8     13525      4.93856e-08
10598.8     13616.5      9.00121e-08
